Symbol,cik
imos,1123134
impp,1876581
imrn,1660046
imte,1668438
imtx,1809196
inbs,1725430
incr,1857030
indv,1625297
inmd,1742692
intr,1864163
ints,1567264
invz,1835654
ionr,1896084
ipa,1715925
ipha,1598599
ipx,1898601
iq,1722608
iren,1878848
iron,1816736
ispr,1948455
itaq,1841586
itrn,1337117
iva,1756594
ivda,1397183
ivp,1939365
ivvd,1832038
ixhl,1873875
izm,1854572
jcse,1905511
jd,1549802
jewl,1884072
jfbr,1885408
jfin,1743102
jfu,1619544
jg,1737339
jjsf,785956
jnvr,1805526
jtaiz,1861622
jwel,1805594
jxjt,1546383
jyd,1938186
jz,1852440
jzxn,1816172
ka,1445283
karo,1828102
kc,1795589
kitt,1849820
kmda,1567529
krkr,1779476
krnt,1625791
kvac,1889983
kvsa,1841873
kwe,1889823
kxin,1713539
kzia,1075880
laes,1951222
lase,1807887
lcfy,1875547
ldwy,875355
lee,58361
legn,1801198
lfcr,1005286
lghl,1806524
lgo,1400438
lgvc,1879297
li,1791706
licn,1876766
lifw,1802450
lilm,1855756
lipo,1347242
litm,1769697
lizi,1783407
lkco,1487839
lmdx,1685428
lmnl,1351172
lnkb,1756701
lnza,1843724
lqr,1843165
lsdi,1865127
lsta,320017
lucy,1808377
lunr,1844452
luxh,1893311
lvtx,1840748
lx,1708259
lxeh,1814067
lyt,1816319
mama,1520358
math,1682241
maxn,1796898
mbly,1910139
mcld,1756499
mcom,1788841
mdai,1833498
mdbh,1934642
mdgs,1618500
mdjh,1741534
mdna,1807983
mdwd,1593984
mdxh,1872529
megl,1881472
meoh,886977
mesa,810332
meso,1345099
metx,1796514
mf,1851682
mfh,1527762
mgam,1886362
mgic,876779
mgih,1903995
mgol,1902794
mgrm,1769759
mgrx,1938046
mhua,1835615
mics,923601
mira,1904286
mkul,1872356
mlco,1381640
mlgo,1800392
mltx,1821586
mlys,1933414
mmlp,1176334
mmyt,1495153
mndo,1119083
mndy,1845338
mob,1898643
mobq,1084267
mogo,1602842
moln,1745114
momo,1610601
mond,1828852
mor,1340243
moxc,1864055
mreo,1719714
mrm,1819704
mtc,1742518
mtek,1872964
mtls,1091223
murf,1896212
mvla,1839132
myna,1850453
mynz,1874252
nan,1872302
naas,1712178
nams,1936258
nb,1512228
nbtx,1760854
ncna,1709626
ncnc,1964021
ncpl,1414767
ncra,1756180
ncty,1296774
negg,1474627
neov,1748137
netd,1975218
nftg,1895618
ngms,1821349
nice,1003935
nir,1826671
nisn,1603993
niu,1744781
nlsp,1783036
nmra,1885522
nnagu,1950429
nndm,1643303
nnox,1795251
nogn,1841800
nrsn,1875091
ntes,1110646
nutx,1479681
nvac,1859807
nvct,1875558
nvei,1765159
nvmi,1109345
nvx,1859795
nwgl,1948294
nwtn,1932737
nxl,1527352
nxpl,1058307
nxt,1852131
nxu,1722969
nyax,1901279
nyxh,1857190
oabi,1846253
obio,1814114
ocea,1869974
ocg,1776067
ocs,1953530
octo,1892492
odd,1907085
odvww,1431852
ogi,1620737
okyo,1849296
olk,1835539
omab,1378239
omh,1944902
oncy,1129928
onfo,1825452
op,1869467
opal,1842279
opra,1737450
opt,1815620
osa,1934064
ost,1803407
otex,1002638
otly,1843586
otmo,1842498
ozk,1569650
pavs,1751876
pax,1825570
pbts,1754323
pdd,1737806
pepg,1835597
peri,1338940
pet,1842356
petz,1684425
pev,1879848
pfbc,1492165
pgy,1883085
phar,1828316
phvs,1830487
phxm,1624422
pmgmu,1821606
pmn,1374339
poci,867840
podc,1940177
poet,1437424
ppbt,1614744
pre,1876431
prfx,1801834
prme,1894562
proc,1863362
prof,1628808
prok,1850270
prqr,1612940
prst,1822145
prtc,1782999
prtg,1095435
przo,1916241
pshg,1481241
psny,1884082
pt,1716338
puyi,1750264
pwm,1765850
pxdt,1962845
pxmd,1811623
pxs,1640043
pypd,1611842
pyr,1743344
qdel,1906324
qfin,1741530
qh,1781193
qipt,1540013
qli,1779578
qnrx,1671502
qsg,1932770
raya,1825875
rcm,1910851
rcon,1442620
rdcm,1016838
rdhl,1553846
rdus,912603
rdwr,1094366
reax,1862461
rebn,1707910
ree,1843588
renb,1527728
reto,1687277
rgc,1829667
rgti,1838359
rmcf,1616262
rnlx,1811115
rnw,1848763
rtc,1381074
rum,1830081
rvsn,1743905
rvyl,1419275
ryaay,1038683
ryzb,1825367
sai,1847075
sang,1753368
satl,1874315
sbet,1025561
sbfm,1402328
sbgi,1971213
sblk,1386716
sclx,1820190
scni,1611747
scpl,1760717
sctl,1588972
scwo,933972
sdot,1701756
seco,1633441
seed,1321851
sezl,1662991
sfr,1821075
sfwl,1863218
sgdvv,1959023
sgml,1848309
sgmt,1400118
shfs,1854963
ship,1448397
shlt,1166834
sify,1094324
silc,916793
simo,1329394
sj,1753673
skwd,1519449
slac,1834755
sle,1621672
slgl,1684693
